"","state","county","GEO_ID","S2201_C01_021E","S2201_C01_021EA","S2201_C03_001E","S2201_C03_001EA","S2201_C01_001E","S2201_C01_001EA","year"
"222","48","279","0500000US48279",1002,NA,888,NA,4865,NA,2015
"223","48","295","0500000US48295",108,NA,63,NA,1198,NA,2015
"224","48","307","0500000US48307",505,NA,543,NA,3145,NA,2015
"225","48","319","0500000US48319",285,NA,128,NA,1714,NA,2015
"226","48","125","0500000US48125",171,NA,174,NA,878,NA,2015
"227","48","287","0500000US48287",893,NA,522,NA,5996,NA,2015
"228","48","439","0500000US48439",89406,NA,79741,NA,673737,NA,2015
"229","48","001","0500000US48001",2751,NA,2303,NA,16737,NA,2015
"230","48","139","0500000US48139",5862,NA,5635,NA,52653,NA,2015
"231","48","239","0500000US48239",681,NA,460,NA,5109,NA,2015
"232","48","265","0500000US48265",2776,NA,2305,NA,20316,NA,2015
"233","48","331","0500000US48331",1635,NA,1909,NA,9346,NA,2015
"234","48","093","0500000US48093",1007,NA,463,NA,5119,NA,2015
"235","48","145","0500000US48145",1195,NA,968,NA,5418,NA,2015
"236","48","047","0500000US48047",807,NA,832,NA,2080,NA,2015
"237","48","015","0500000US48015",1224,NA,1111,NA,11038,NA,2015
"238","48","261","0500000US48261",29,NA,20,NA,145,NA,2015
"239","48","089","0500000US48089",1249,NA,842,NA,7657,NA,2015
"240","48","409","0500000US48409",3222,NA,2532,NA,22781,NA,2015
"241","48","381","0500000US48381",5142,NA,3714,NA,48770,NA,2015
"242","48","411","0500000US48411",339,NA,202,NA,2126,NA,2015
"243","48","413","0500000US48413",228,NA,94,NA,1074,NA,2015
"244","48","507","0500000US48507",1367,NA,1402,NA,3627,NA,2015
"245","48","057","0500000US48057",1403,NA,1005,NA,7994,NA,2015
"246","48","155","0500000US48155",49,NA,67,NA,507,NA,2015
"247","48","175","0500000US48175",449,NA,280,NA,2881,NA,2015
"248","48","193","0500000US48193",540,NA,518,NA,3166,NA,2015
"249","48","335","0500000US48335",325,NA,339,NA,2753,NA,2015
"250","48","449","0500000US48449",1952,NA,1654,NA,10461,NA,2015
"251","48","285","0500000US48285",838,NA,595,NA,7701,NA,2015
"252","48","445","0500000US48445",629,NA,764,NA,4046,NA,2015
"253","48","497","0500000US48497",2352,NA,2550,NA,21068,NA,2015
"254","48","051","0500000US48051",1040,NA,1062,NA,6401,NA,2015
"255","48","407","0500000US48407",1472,NA,1765,NA,9631,NA,2016
"256","48","459","0500000US48459",1925,NA,1969,NA,13941,NA,2016
"257","48","473","0500000US48473",2364,NA,2469,NA,14082,NA,2016
"258","48","493","0500000US48493",1494,NA,1386,NA,15474,NA,2016
"259","48","219","0500000US48219",1251,NA,1134,NA,8103,NA,2016
"260","48","329","0500000US48329",4033,NA,4084,NA,53960,NA,2016
"261","48","299","0500000US48299",1088,NA,666,NA,8796,NA,2016
